Date,Open,High,Low,Settle,Volume
08/03/2012,6700,6875,6699,6834,174090
09/03/2012,6849.5,6915,6831.5,6889.5,133534
12/03/2012,6864.5,6924,6848,6898,158972
13/03/2012,6963,7048,6940,7000.5,257999
14/03/2012,7019,7100.5,7018.5,7086.5,223147
15/03/2012,7090,7164,7072.5,7146,159927
16/03/2012,7150,7196.5,7142.5,7193.36,36204
19/03/2012,7186,7188,7107,7166.5,104292
20/03/2012,7161,7165,7045,7067.5,124483
21/03/2012,7100.5,7129,7025.5,7088.5,128920
22/03/2012,7066.5,7091.5,6951,6996.5,154537
23/03/2012,7002,7042,6921,7017,142980
26/03/2012,7051,7124.5,6981,7093,126656
27/03/2012,7143.5,7167,7075,7092,124398
28/03/2012,7065,7124.5,6962.5,7018.5,153659
29/03/2012,6982.5,7007.5,6854.5,6893,165623
30/03/2012,6936,6976.5,6911,6961,121432
02/04/2012,6982.5,7103.5,6922.5,7066.5,173502
03/04/2012,7089,7095,6937.5,6997.5,139910
04/04/2012,6932,6958,6782,6786.5,189689
05/04/2012,6814,6842.5,6695,6790,168974
10/04/2012,6688,6748.5,6568,6639,173159
11/04/2012,6604,6731.5,6601,6673,165062
12/04/2012,6690,6773.5,6657,6755,167322
13/04/2012,6764,6764,6558,6588,174223
16/04/2012,6575.5,6683.5,6536,6653,154839
17/04/2012,6632,6818.5,6624,6802,161217
18/04/2012,6812.5,6821.5,6724,6742,144460
19/04/2012,6754.5,6816,6638,6684.5,191374
20/04/2012,6692.5,6770,6657,6752.5,150979
23/04/2012,6710.5,6720,6505,6527.5,182202
24/04/2012,6567,6611.5,6512.5,6604.5,146806
25/04/2012,6614,6741,6602,6720.5,157719
26/04/2012,6705.5,6789.5,6647,6744.5,139694
27/04/2012,6717.5,6834.5,6654,6803,151943
30/04/2012,6824,6856,6754.5,6775,109072
02/05/2012,6830,6885,6668.5,6710,156506
03/05/2012,6747,6799,6652.5,6699.5,147092
04/05/2012,6667,6691.5,6538,6565,160874
07/05/2012,6404,6599,6370,6574,137874
08/05/2012,6573.5,6582,6416.5,6445,172560
09/05/2012,6482,6511.5,6377.5,6471.5,208864
10/05/2012,6503.5,6554.5,6442,6519.5,163872
11/05/2012,6461,6593,6448,6585,160318
14/05/2012,6510,6528,6406,6468,154257
15/05/2012,6463,6513,6353.5,6394.5,201277
16/05/2012,6327,6445,6298.5,6391,200147
17/05/2012,6400.5,6423.5,6261,6318.5,165282
18/05/2012,6225,6338,6221.5,6274.5,178400
21/05/2012,6273,6369,6243,6337.5,139208
22/05/2012,6374.5,6447.5,6350.5,6437.5,158788
23/05/2012,6336,6375.5,6259,6284.5,192052
24/05/2012,6350,6356,6243,6323.5,187797
25/05/2012,6292.5,6409,6279,6344.5,165528
28/05/2012,6400,6429.5,6311.5,6323.5,74495
29/05/2012,6372.5,6443.5,6334.5,6401,185340
30/05/2012,6379,6396,6258.5,6283.5,221381
31/05/2012,6289,6323.5,6208.5,6239,183899
01/06/2012,6245,6261.5,6008.5,6064.5,254928
04/06/2012,5980,6032,5942,5979.5,162518
05/06/2012,6011.5,6027,5913,5966.5,163663
06/06/2012,6028.5,6136,5994.5,6101,199022
07/06/2012,6146,6232.5,6099,6138.5,194636
08/06/2012,6094.5,6171.5,6052.5,6125,179845
11/06/2012,6304,6322,6098,6137,232377
12/06/2012,6127,6213,6083,6167,262707
13/06/2012,6180,6222.5,6092,6132.5,243056
14/06/2012,6148,6169.5,6077,6137,227749
15/06/2012,6162,6218.5,6152,6243.86,30594
